,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
5801,1.67,6.38,397,1,249,28.0,2.1,69.9,128853155,1236192,1085892,128894405,154000,20000,0,0,9731,2114,fio
5802,1.67,6.38,397,1,249,1.1,0.3,82.2,128853155,1236192,1085892,128894405,8284000,0,1544,0,2728,4658,fio
5803,1.67,6.38,397,1,249,0.9,0.5,82.2,128853155,1236192,1085892,128894405,8512000,0,1262,0,2593,4273,fio
5804,1.67,6.38,397,1,249,0.5,0.8,78.3,128852085,1236668,1086480,128893885,7728000,0,898,0,2049,3351,fio
5805,2.34,6.44,397,1,249,0.1,0.0,77.4,128852085,1236668,1086480,128893885,8016000,0,1360,0,2611,3422,fio
5806,2.34,6.44,397,1,249,0.2,0.3,74.5,128852085,1236668,1086480,128893885,8200000,128000,780,0,1910,3313,fio
5807,2.34,6.44,397,1,249,0.1,0.1,76.2,128852365,1236256,1086604,128894275,8080000,0,1574,0,2489,4189,fio
5808,2.34,6.44,397,1,249,0.1,0.1,79.0,128852365,1236256,1086604,128894275,8208000,8192,1306,0,1298,1997,fio
5809,2.34,6.44,397,1,249,0.2,0.0,79.0,128852365,1236256,1086604,128894275,8480000,140000,990,0,1263,1974,fio
5810,2.95,6.5,397,1,249,0.0,0.0,80.8,128852685,1235844,1086700,128894705,8000000,0,2982,0,1339,2089,fio
5811,2.95,6.5,397,1,249,0.1,0.1,80.5,128852685,1235844,1086700,128894705,7776000,24000,2424,0,1211,1913,fio
5812,2.95,6.5,397,1,249,0.0,0.0,77.4,128852685,1235844,1086700,128894705,207000000,340000,33000,158,33000,52000,fio
5813,2.95,6.5,397,1,249,0.1,0.0,74.9,128853315,1235204,1086712,128895375,112000,0,0,0,18,31,fio
5814,2.95,6.5,397,1,249,0.0,0.1,74.9,128853315,1235204,1086712,128895375,8272000,0,1018,0,1395,2130,fio
5815,3.6,6.57,397,1,249,0.1,0.1,74.8,128853315,1235204,1086712,128895375,8132000,4096,1031,0,1318,2000,fio
5816,6.84,7.12,397,2,249,0.0,0.0,72.1,128855095,1233180,1086956,128897385,7632000,4096,784,0,1321,2009,fio
5817,6.84,7.12,397,1,249,0.0,0.1,70.9,128855095,1233180,1086956,128897385,8208000,144000,1028,0,1373,2068,fio
5818,6.84,7.12,397,1,249,0.1,0.1,70.7,128855095,1233180,1086956,128897385,8128000,0,2119,0,1403,2147,fio
5819,7.09,7.17,397,1,249,0.1,0.1,70.7,128855345,1232800,1087088,128897745,8020000,32000,844,0,1311,1987,fio
5820,7.09,7.17,397,1,249,0.1,0.1,74.9,128855345,1232800,1087088,128897745,35000000,244000,5027,0,6174,9365,fio
5821,7.09,7.17,397,1,249,0.1,0.1,74.3,128855345,1232800,1087088,128897745,3696000,0,360,0,576,878,fio
5822,7.09,7.17,397,1,249,0.0,0.0,77.0,128855075,1232860,1087300,128897645,8064000,32000,1052,0,1331,2012,fio
5823,7.4,7.23,397,1,249,0.1,0.1,79.0,128855075,1232860,1087300,128897645,7792000,0,1451,0,1332,2040,fio
5824,7.4,7.23,397,1,249,0.0,0.1,79.1,128855075,1232860,1087300,128897645,8144000,176000,1180,0,1415,2116,fio
5825,7.4,7.23,397,1,249,0.6,0.1,77.2,128854985,1232844,1087404,128897665,8528000,4096,904,0,1261,1983,fio
5826,7.4,7.23,397,1,249,0.1,0.1,71.8,128854985,1232844,1087404,128897665,8176000,24000,784,0,1238,1960,fio
5827,7.4,7.23,397,1,249,0.1,0.0,67.8,128854985,1232844,1087404,128897665,8080000,0,544,0,1283,2020,fio
5828,7.69,7.3,397,1,249,0.1,0.1,68.2,128854885,1232836,1087516,128897695,7920000,212000,600,0,1247,1933,fio
5829,7.69,7.3,397,2,248,0.0,0.0,70.8,128854885,1232836,1087516,128897695,8080000,0,600,0,1315,2032,fio
5830,7.69,7.3,397,1,249,0.0,0.0,74.9,128854725,1232756,1087752,128897685,7952000,4096,1259,0,1378,2044,fio
5831,7.69,7.3,397,1,249,0.1,0.1,74.9,128854725,1232756,1087752,128897685,7872000,32000,900,0,1317,2048,fio
5832,7.69,7.3,397,1,249,0.1,0.0,74.9,128854725,1232756,1087752,128897685,7552000,4096,1162,0,1290,1961,fio
