Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
12.98,12.46,595,5,352,6,0.6,92.9,32331108,97020048,1819140,33072572,344000,155000,0,0,3542,2118,linpack
12.98,12.46,595,5,352,28.2,1,70.7,32331108,97020048,1819140,33072572,4096,0,1080,0,5324,2907,linpack
13.06,12.48,595,5,352,28.3,1,70.7,32331108,97020048,1819140,33072572,0,0,1503,0,5315,2900,linpack
13.06,12.48,595,5,352,28.2,1,70.8,32330908,97021480,1817908,33071372,0,0,964,0,5304,2932,linpack
13.06,12.48,595,5,352,20.9,8.3,70.7,32330908,97021480,1817908,33071372,0,0,1166,0,5328,2982,linpack
13.06,12.48,595,5,352,28.1,1.2,70.7,32330908,97021480,1817908,33071372,0,0,964,0,5304,2895,linpack
12.33,12.34,595,5,352,20.3,5.2,74.5,32331332,97020896,1818068,33071964,0,128000,1106,0,5358,2980,linpack
12.33,12.34,595,5,352,22.4,1.2,76.4,32331332,97020896,1818068,33071964,0,0,844,0,3677,2051,linpack
12.33,12.34,595,5,352,28.4,0.8,70.8,32331332,97020896,1818068,33071964,0,0,922,0,5389,3069,linpack
12.33,12.34,595,5,352,28.3,1,70.7,32331408,97020672,1818220,33072208,0,0,1744,0,5283,2862,linpack
12.33,12.34,595,5,352,28.1,1.5,70.3,32331408,97020672,1818220,33072208,0,0,774,0,5381,2944,linpack
12.55,12.39,595,5,352,23.8,5.6,70.5,32331408,97020672,1818220,33072208,0,20000,812,0,5328,2936,linpack
12.55,12.39,595,6,351,28.5,1,70.5,32329932,97021936,1818424,33070840,0,748000,1260,0,6253,4362,linpack
12.55,12.39,595,5,352,28.5,0.9,70.7,32329932,97021936,1818424,33070840,0,0,1140,0,7141,5618,linpack
12.55,12.39,595,5,352,27.8,1.5,70.8,32329932,97021936,1818424,33070840,0,0,1912,0,6130,4210,linpack
12.55,12.39,595,5,352,22.4,7.1,70.5,32330084,97021640,1818572,33071160,0,0,879,0,5675,3385,linpack
12.66,12.41,595,10,349,28.3,1.1,70.6,32330084,97021640,1818572,33071160,0,80000,856,0,5846,3868,linpack
12.66,12.41,595,5,352,28.3,1.5,70.2,32330084,97021640,1818572,33071160,0,316000,784,0,7260,6050,linpack
12.66,12.41,595,6,351,27.6,2,70.4,32329968,97021600,1818724,33071212,0,0,1766,0,7139,5697,linpack
12.66,12.41,595,5,352,21.7,7.6,70.7,32329968,97021600,1818724,33071212,0,0,1024,0,7058,5756,linpack
12.66,12.41,595,5,352,27.3,2,70.7,32329968,97021600,1818724,33071212,0,0,664,0,5374,3049,linpack
12.77,12.44,595,5,352,23.9,3.4,72.7,32329844,97021576,1818876,33071256,0,24000,664,0,5378,2993,linpack
