,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
2736,0.16,0.96,407,2,258,34.9,2.2,62.8,127731085,1725968,1718172,128370545,257000,132000,0,0,4232,3318,mlc
2737,0.16,0.96,407,2,258,4.6,0.1,95.3,127731085,1725968,1718172,128370545,0,72000,600,0,2657,4273,mlc
2738,0.16,0.96,407,3,257,4.8,0.2,95.0,127731085,1725968,1718172,128370545,0,0,840,0,2227,3290,mlc
2739,0.16,0.96,407,2,258,3.9,4.9,91.2,127728195,1728876,1718160,128367575,0,0,2617,0,3335,4612,mlc
2740,0.16,0.96,407,2,258,2.6,6.2,91.2,127728195,1728876,1718160,128367575,0,188000,840,0,2575,3379,mlc
2741,0.47,1.01,407,2,258,2.2,6.6,91.2,127728195,1728876,1718160,128367575,0,0,1052,0,3306,4479,mlc
2742,0.47,1.01,407,2,258,5.0,4.7,90.3,125676005,3780964,1718264,126315445,0,0,872,0,3162,4308,mlc
2743,0.47,1.01,407,2,258,4.8,4.1,91.1,125676005,3780964,1718264,126315445,0,52000,692,0,3504,4686,mlc
2744,0.47,1.01,407,2,258,4.8,3.9,91.3,125676005,3780964,1718264,126315445,0,0,720,0,4010,5515,mlc
2745,0.47,1.01,407,2,258,5.1,4.1,90.8,125674895,3781476,1718864,126314465,0,0,960,54,3483,4746,mlc
2746,0.67,1.04,407,2,258,4.7,4.2,91.1,125674895,3781476,1718864,126314465,0,212000,660,0,3370,4562,mlc
2747,0.67,1.04,407,2,258,4.2,4.5,91.3,125674895,3781476,1718864,126314465,0,0,720,0,1740,1847,mlc
2748,0.67,1.04,407,2,258,4.4,4.3,91.4,125674415,3782280,1718540,126314125,0,24000,720,0,1801,1914,mlc
2749,0.67,1.04,407,2,258,7.1,6.2,86.8,125674415,3782280,1718540,126314125,0,0,540,0,2523,2884,mlc
2750,0.67,1.04,407,2,258,6.9,6.0,87.1,125674415,3782280,1718540,126314125,0,0,840,0,2321,2285,mlc
2751,0.86,1.08,407,2,258,6.4,6.5,87.1,127473525,1983064,1718648,128113345,0,184000,1500,0,2142,1959,mlc
