,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
8654,0.27,1.24,407,1,262,38.8,2.5,58.7,126992815,2044400,2138020,128041345,139000,296000,0,0,5090,4699,tpc
8655,0.27,1.24,407,2,262,15.9,4.7,76.5,126992815,2044400,2138020,128041345,0,2600000,835,152,85000,179000,tpc
8656,0.65,1.3,407,2,262,16.1,5.0,76.1,126992815,2044400,2138020,128041345,0,29000000,180,0,89000,184000,tpc
8657,0.65,1.3,407,2,261,17.1,5.2,75.0,126980465,2050260,2144508,128035455,0,25000000,906,0,92000,188000,tpc
8658,0.65,1.3,407,1,262,15.3,4.7,77.2,126980465,2050260,2144508,128035455,0,25000000,540,0,89000,185000,tpc
8659,0.65,1.3,407,1,262,16.2,4.5,76.6,126980465,2050260,2144508,128035455,0,25000000,483,0,87000,183000,tpc
8660,0.65,1.3,407,1,262,16.3,5.2,75.6,126971375,2052236,2151620,128033445,0,30000000,1285,42,85000,181000,tpc
8661,1.24,1.41,407,1,262,15.7,4.9,76.4,126971375,2052236,2151620,128033445,0,26000000,912,0,90000,190000,tpc
8662,1.24,1.41,407,1,262,15.2,5.0,76.7,126971375,2052236,2151620,128033445,0,28000000,337,101,87000,183000,tpc
8663,1.24,1.41,407,1,262,15.7,4.4,77.1,126971095,2049196,2154940,128036035,0,27000000,448,0,82000,174000,tpc
8664,1.24,1.41,407,2,262,15.7,4.5,77.0,126971095,2049196,2154940,128036035,0,29000000,480,0,84000,178000,tpc
8665,1.24,1.41,407,1,262,16.2,5.0,75.9,126971095,2049196,2154940,128036035,0,30000000,360,0,87000,183000,tpc
8666,1.46,1.46,407,1,262,15.6,4.3,77.0,126965155,2049388,2160696,128035885,0,34000000,770,0,85000,177000,tpc
8667,1.46,1.46,407,1,262,15.3,4.6,77.1,126965155,2049388,2160696,128035885,0,32000000,1066,42,89000,188000,tpc
8668,1.46,1.46,407,2,262,15.4,4.8,76.9,126965155,2049388,2160696,128035885,0,30000000,519,0,85000,182000,tpc
8669,1.46,1.46,407,1,262,15.6,4.2,76.7,126961385,2051056,2162792,128034645,0,30000000,483,0,83000,178000,tpc
